Average,,,,19.27,-0.65,"23,780,511.28","137,053.38","24,549.78",62.66,0.36,0.84,0.09,1.55,5.65,2.40,-12.95,0.47,40.89,,562.59,561.45,-1.02,
2S,1,i | 1 | 2 | 3,,6.55,-2.96,"2,483,000","16,505","3,275",4.51,1.51,,0.20,1.45,40.31,38.98,15.65,3.33,58.11,,28,14,0.02,
3K-BAT,2,i,,69,0.00,200,14,"5,410",48.82,2.52,,0.25,1.41,-3.08,5.28,3.29,0.36,2.10,,917,,,
7UP,3,i | 1 | 2 | 3,,1.54,+1.32,"180,384,500","279,953","7,920",38.12,3.08,,,0.04,7.7,10.2,37.44,,66.55,,727,700,-0.28,
A,4,i | 1 | 2 | 3,,4.98,0.00,"6,900",34,"4,880",51.50,1.41,,0.03,0.1,3.99,2.77,-4.93,0.60,25.86,,991,929,-0.18,
A5,5,i | 1 | 3,SPNC,1.5,0.00,0,0,"1,685",,3.41,1.74,,0.05,12.37,19.82,21.63,,20.60,,,,,
AAV,6,i | 1 | 2 | 3,,2.76,-2.13,"22,126,900","61,184","13,386",,1.24,,,0,-15,-47.69,-261.93,,58.73,,,,,
ABICO,7,i | 1 | 2 | 3,,5.65,0.00,"13,400",76,"1,381",32.32,1.41,,,0.17,3.67,4.47,2.88,0.08,27.66,,873,870,-0.23,
ABM,8,i | 1 | 3,,1.53,0.00,"1,095,600","1,692",459,41.76,1.28,,,0.04,3.11,3.65,1.25,,34.68,,951,945,-0.24,
ACAP,9,i | 1 | 2 | 3,CNP,2.16,-0.92,"4,147,700","8,991",683,,3.18,,,0,3.31,-75.11,"-6,965.86",,60.49,,,,,
ACC,10,i | 1 | 3,,1.1,-1.79,"15,933,200","17,785","1,477",,2.68,,,0,-1.95,-8.4,-19.17,,54.27,,,,,
ACE,11,i | 1 | 3,,3.9,-0.51,"54,078,800","210,857","39,686",28.53,3.17,,0.02,0.14,9.59,11.66,26.85,1.22,22.62,,619,574,,
ACG,12,i | 1 | 3,,2.78,0.00,"299,100",818,"1,668",50.84,2.55,,0.04,0.05,4.84,5.05,1.86,1.44,24.93,,933,898,,
ADB,13,i | 1 | 2 | 3,,2.1,0.00,"5,665,300","11,925","1,386",12.30,2.06,,0.05,0.17,10.95,17.68,7.91,2.62,36.47,,292,324,-0.19,
